"Pokemon","Fast.Move","Charged.Move","DPS","TDO","DPS.3.TDO","CP","fastType","fastDmg","fastDps","chargeType","chargeDmg","chargeDps"
"16","Mega Alakazam","Confusion","Psychic",23.061,589.5,7230.5,4366,"psychic","20","12.5","psychic","90","32.1"
"17","Mega Blaziken","Counter","Blast Burn",23.048,660,8081.2,4161,"fighting","12","13.3","fire","110","33.3"
"18","Mega Mewtwo Y","Confusion","Shadow Ball",22.821,865.7,10288.3,5610,"psychic","20","12.5","ghost","100","33.3"
"19","Mega Blaziken","Fire Spin","Blast Burn",22.715,650.5,7624.4,4161,"fire","14","12.7","fire","110","33.3"
"20","Mega Lucario","Bullet Punch","Aura Sphere",22.707,615.9,7211.1,3826,"steel","9","10","fighting","90","50"
"21","Mega Rayquaza","Dragon Tail","Outrage",22.664,832.6,9692.8,5055,"dragon","15","13.6","dragon","110","28.2"
"22","Mega Alakazam","Psycho Cut","Psychic",22.652,579.1,6730.8,4366,"psychic","5","8.3","psychic","90","32.1"
"23","Mega Sceptile","Fury Cutter","Frenzy Plant",22.45,644.2,7288.8,4056,"bug","3","7.5","grass","100","38.5"
"24","Mega Mewtwo X","Confusion","Focus Blast",22.447,851.5,9631.2,5429,"psychic","20","12.5","fighting","140","40"
"25","Mega Gengar","Hex","Shadow Ball",22.377,621.5,6963.7,4336,"ghost","10","8.3","ghost","100","33.3"
"26","Mega Gengar","Shadow Claw","Sludge Bomb",22.21,616.8,6757.3,4336,"ghost","9","12.9","poison","80","34.8"
"27","Shadow Salamence","Dragon Tail","Outrage",22.163,541.8,5898.5,3749,"dragon","15","13.6","dragon","110","28.2"
"28","Mega Alakazam","Counter","Psychic",22.109,565.2,6107.9,4366,"fighting","12","13.3","psychic","90","32.1"
"29","Mega Gengar","Lick","Sludge Bomb",22.103,613.8,6628.2,4336,"ghost","5","10","poison","80","34.8"
"30","Mega Mewtwo X","Confusion","Shadow Ball",22.093,838.1,9036.9,5429,"psychic","20","12.5","ghost","100","33.3"
"31","Mega Mewtwo Y","Psycho Cut","Shadow Ball",22.03,835.7,8935,5610,"psychic","5","8.3","ghost","100","33.3"
"32","Shadow Mewtwo","Confusion","Shadow Ball",21.873,570.6,5971.5,4178,"psychic","20","12.5","ghost","100","33.3"
"33","Deoxys (Attack Forme)","Zen Headbutt","Dark Pulse",21.856,140.6,1468.2,2580,"psychic","12","10.9","dark","80","26.7"
"34","Mega Mewtwo X","Psycho Cut","Focus Blast",21.849,828.8,8645.6,5429,"psychic","5","8.3","fighting","140","40"
"35","Mega Charizard Y","Fire Spin","Blast Burn",21.764,758,7814.8,4455,"fire","14","12.7","fire","110","33.3"
"36","Shadow Metagross","Bullet Punch","Meteor Mash",21.763,627,6462.6,3791,"steel","9","10","steel","100","38.5"
"37","Mega Gengar","Sucker Punch","Shadow Ball",21.744,603.9,6208.5,4336,"dark","7","10","ghost","100","33.3"
"38","Deoxys (Attack Forme)","Poison Jab","Dark Pulse",21.686,139.5,1423.2,2580,"poison","10","12.5","dark","80","26.7"
"39","Mega Garchomp","Dragon Tail","Outrage",21.686,996.6,10163.9,5424,"dragon","15","13.6","dragon","110","28.2"
"40","Mega Blaziken","Counter","Blaze Kick",21.556,617.3,6182.7,4161,"fighting","12","13.3","fire","45","37.5"
"41","Mega Rayquaza","Air Slash","Outrage",21.553,791.8,7928.1,5055,"flying","14","11.7","dragon","110","28.2"
"42","Shadow Salamence","Dragon Tail","Draco Meteor",21.532,526.4,5254.9,3749,"dragon","15","13.6","dragon","150","41.7"
"43","Mega Mewtwo Y","Confusion","Thunderbolt",21.48,814.8,8076.1,5610,"psychic","20","12.5","electric","80","32"
"44","Mega Mewtwo Y","Confusion","Hyper Beam",21.475,814.6,8068.1,5610,"psychic","20","12.5","normal","150","39.5"
"45","Mega Alakazam","Confusion","Shadow Ball",21.44,548.1,5401.2,4366,"psychic","20","12.5","ghost","100","33.3"
"46","Mega Charizard Y","Wing Attack","Blast Burn",21.392,745.1,7293.5,4455,"flying","8","10","fire","110","33.3"
"47","Mega Mewtwo X","Psycho Cut","Shadow Ball",21.336,809.3,7860.5,5429,"psychic","5","8.3","ghost","100","33.3"
"48","Mega Alakazam","Confusion","Future Sight",21.327,545.2,5289,4366,"psychic","20","12.5","psychic","120","44.4"
"49","Mega Blaziken","Counter","Overheat",21.311,610.3,5907,4161,"fighting","12","13.3","fire","160","40"
"50","Mega Sceptile","Bullet Seed","Frenzy Plant",21.305,611.3,5911.4,4056,"grass","8","7.3","grass","100","38.5"
"51","Mega Mewtwo Y","Confusion","Focus Blast",21.25,806.1,7735.8,5610,"psychic","20","12.5","fighting","140","40"
"52","Shadow Salamence","Fire Fang","Outrage",21.22,518.8,4957,3749,"fire","12","13.3","dragon","110","28.2"
"53","Shadow Mewtwo","Psycho Cut","Shadow Ball",21.213,553.4,5282.4,4178,"psychic","5","8.3","ghost","100","33.3"
"54","Shadow Alakazam","Confusion","Psychic",21.197,359.2,3420.8,3057,"psychic","20","12.5","psychic","90","32.1"
"55","Mega Gengar","Hex","Sludge Bomb",21.172,588,5579.9,4336,"ghost","10","8.3","poison","80","34.8"
"56","Shadow Metagross","Zen Headbutt","Meteor Mash",21.128,608.7,5740.4,3791,"psychic","12","10.9","steel","100","38.5"
"57","Mega Blaziken","Fire Spin","Blaze Kick",21.127,605,5705.6,4161,"fire","14","12.7","fire","45","37.5"
"58","Mega Banette","Shadow Claw","Shadow Ball",21.084,498.5,4672.3,3594,"ghost","9","12.9","ghost","100","33.3"
"59","Shadow Moltres","Fire Spin","Sky Attack",21.042,529.5,4933.1,3465,"fire","14","12.7","flying","80","40"
"60","Galarian Darmanitan - Zen Mode","Ice Fang","Avalanche",21.009,499,4626.6,3905,"ice","12","8","ice","90","33.3"
"61","Mega Garchomp","Dragon Tail","Earthquake",20.947,962.6,8846.6,5424,"dragon","15","13.6","ground","140","38.9"
"62","Shadow Alakazam","Psycho Cut","Psychic",20.925,354.6,3248.8,3057,"psychic","5","8.3","psychic","90","32.1"
"63","Mega Alakazam","Confusion","Return",20.924,534.9,4900.2,4366,"psychic","20","12.5","normal","35","50"
"64","Mewtwo","Confusion","Psystrike",20.918,654.9,5994.3,4178,"psychic","20","12.5",NA,NA,NA
"65","Mega Mewtwo Y","Confusion","Flamethrower",20.898,792.8,7235.5,5610,"psychic","20","12.5","fire","70","31.8"
"66","Mewtwo","Psycho Cut","Psystrike",20.884,653.8,5955.4,4178,"psychic","5","8.3",NA,NA,NA
"67","Shadow Dragonite","Dragon Tail","Outrage",20.854,575.4,5218.5,3792,"dragon","15","13.6","dragon","110","28.2"
"68","Mega Blaziken","Fire Spin","Overheat",20.819,596.2,5379.8,4161,"fire","14","12.7","fire","160","40"
"69","Mega Mewtwo X","Confusion","Thunderbolt",20.796,788.9,7095.3,5429,"psychic","20","12.5","electric","80","32"
"70","Mega Mewtwo X","Confusion","Hyper Beam",20.791,788.7,7088,5429,"psychic","20","12.5","normal","150","39.5"
"71","Mega Charizard Y","Air Slash","Blast Burn",20.761,723.1,6470.5,4455,"flying","14","11.7","fire","110","33.3"
"72","Mega Charizard Y","Ember","Blast Burn",20.726,721.9,6427.6,4455,"fire","10","10","fire","110","33.3"
"73","Mega Alakazam","Psycho Cut","Shadow Ball",20.718,529.6,4710.4,4366,"psychic","5","8.3","ghost","100","33.3"
"74","Mega Blaziken","Counter","Brave Bird",20.67,591.9,5227.4,4161,"fighting","12","13.3","flying","130","65"
"75","Mega Alakazam","Psycho Cut","Future Sight",20.647,527.8,4645.6,4366,"psychic","5","8.3","psychic","120","44.4"
"76","Mega Mewtwo Y","Confusion","Ice Beam",20.601,781.5,6831.9,5610,"psychic","20","12.5","ice","90","27.3"
"77","Mega Heracross","Counter","Megahorn",20.595,767.1,6700.8,4814,"fighting","12","13.3","bug","110","50"
"78","Shadow Salamence","Bite","Outrage",20.591,503.4,4394.8,3749,"dark","6","12","dragon","110","28.2"
"79","Mega Gardevoir","Confusion","Psychic",20.582,705.4,6150.5,4512,"psychic","20","12.5","psychic","90","32.1"
"80","Mega Gallade","Confusion","Psychic",20.579,708.2,6171.6,4521,"psychic","20","12.5","psychic","90","32.1"
"81","Mega Blaziken","Counter","Focus Blast",20.565,588.9,5121.9,4161,"fighting","12","13.3","fighting","140","40"
"82","Shadow Moltres","Wing Attack","Sky Attack",20.564,517.4,4499.4,3465,"flying","8","10","flying","80","40"
"83","Mega Alakazam","Counter","Shadow Ball",20.541,525.1,4551.4,4366,"fighting","12","13.3","ghost","100","33.3"
"84","Shadow Mewtwo","Confusion","Thunderbolt",20.537,535.8,4641,4178,"psychic","20","12.5","electric","80","32"
"85","Mega Gengar","Sucker Punch","Sludge Bomb",20.526,570,4929.7,4336,"dark","7","10","poison","80","34.8"
"86","Mega Garchomp","Mud Shot","Outrage",20.459,940.2,8051.6,5424,"ground","5","8.3","dragon","110","28.2"
"87","Shadow Alakazam","Counter","Psychic",20.446,346.5,2961.4,3057,"fighting","12","13.3","psychic","90","32.1"
"88","Mega Metagross","Bullet Punch","Meteor Mash",20.414,971.2,8261.6,4911,"steel","9","10","steel","100","38.5"
"89","Shadow Dragonite","Dragon Tail","Draco Meteor",20.404,563,4782,3792,"dragon","15","13.6","dragon","150","41.7"
"90","Mega Banette","Hex","Shadow Ball",20.398,482.3,4093.5,3594,"ghost","10","8.3","ghost","100","33.3"
"91","Galarian Darmanitan - Zen Mode","Tackle","Avalanche",20.365,483.7,4084.9,3905,"normal","5","10","ice","90","33.3"
"92","Mega Mewtwo Y","Psycho Cut","Hyper Beam",20.356,772.2,6512.7,5610,"psychic","5","8.3","normal","150","39.5"
"93","Mega Mewtwo Y","Psycho Cut","Thunderbolt",20.325,771,6474.1,5610,"psychic","5","8.3","electric","80","32"
"94","Shadow Dragonite","Dragon Breath","Outrage",20.307,560.3,4692.3,3792,"dragon","6","12","dragon","110","28.2"
"95","Shadow Electivire","Thunder Shock","Wild Charge",20.271,409,3406.4,3079,"electric","5","8.3","electric","90","34.6"
"96","Black Kyurem","Dragon Tail","Outrage",20.266,724,6026.4,4605,"dragon","15","13.6","dragon","110","28.2"
"97","Mega Alakazam","Counter","Future Sight",20.244,517.5,4293.3,4366,"fighting","12","13.3","psychic","120","44.4"
"98","Shadow Mewtwo","Confusion","Hyper Beam",20.244,528.2,4382,4178,"psychic","20","12.5","normal","150","39.5"
"99","Mega Mewtwo X","Confusion","Flamethrower",20.233,767.5,6357.6,5429,"psychic","20","12.5","fire","70","31.8"
"100","Mega Gardevoir","Charm","Psychic",20.218,692.9,5727,4512,"fairy","20","13.3","psychic","90","32.1"
"101","Mega Sceptile","Fury Cutter","Leaf Blade",20.214,580,4790.3,4056,"bug","3","7.5","grass","70","29.2"
"102","Mega Charizard Y","Fire Spin","Overheat",20.144,701.6,5734.9,4455,"fire","14","12.7","fire","160","40"
"103","Mega Alakazam","Confusion","Dazzling Gleam",20.12,514.3,4189,4366,"psychic","20","12.5","fairy","100","28.6"
"104","Mega Swampert","Water Gun","Hydro Cannon",20.118,858.8,6992.3,4401,"water","5","10","water","90","47.4"
"105","Mega Gardevoir","Confusion","Dazzling Gleam",20.11,689.2,5605.2,4512,"psychic","20","12.5","fairy","100","28.6"
"106","Mega Blaziken","Fire Spin","Brave Bird",20.102,575.7,4676.2,4161,"fire","14","12.7","flying","130","65"
"107","Shadow Weavile","Snarl","Avalanche",20.089,404.1,3275.8,3005,"dark","12","10.9","ice","90","33.3"
"108","Shadow Salamence","Fire Fang","Draco Meteor",20.069,490.6,3965.8,3749,"fire","12","13.3","dragon","150","41.7"
"109","Mega Gengar","Shadow Claw","Psychic",20.057,557,4494.2,4336,"ghost","9","12.9","psychic","90","32.1"
"110","Mega Blaziken","Fire Spin","Focus Blast",20.051,574.2,4629.3,4161,"fire","14","12.7","fighting","140","40"
"111","Shadow Mewtwo","Confusion","Focus Blast",20.04,522.8,4207.8,4178,"psychic","20","12.5","fighting","140","40"
"112","Mega Charizard Y","Dragon Breath","Blast Burn",20.033,697.7,5609.4,4455,"dragon","6","12","fire","110","33.3"
"113","Mega Mewtwo Y","Psycho Cut","Focus Blast",20.033,759.9,6109.7,5610,"psychic","5","8.3","fighting","140","40"
"114","Deoxys (Attack Forme)","Zen Headbutt","Zap Cannon",20.005,128.7,1030.5,2580,"psychic","12","10.9","electric","140","37.8"
"115","Mega Swampert","Mud Shot","Hydro Cannon",19.994,853.5,6821.9,4401,"ground","5","8.3","water","90","47.4"
"116","Shadow Mewtwo","Confusion","Flamethrower",19.957,520.7,4138.5,4178,"psychic","20","12.5","fire","70","31.8"
"117","Mega Mewtwo X","Confusion","Ice Beam",19.944,756.5,6001.5,5429,"psychic","20","12.5","ice","90","27.3"
"118","Mega Rayquaza","Dragon Tail","Aerial Ace",19.906,731.3,5767.5,5055,"dragon","15","13.6","flying","55","22.9"
"119","Shadow Dragonite","Dragon Tail","Dragon Claw",19.882,548.6,4311.6,3792,"dragon","15","13.6","dragon","50","29.4"
"120","Mega Gardevoir","Charm","Dazzling Gleam",19.833,679.7,5303.1,4512,"fairy","20","13.3","fairy","100","28.6"
"121","Mega Alakazam","Confusion","Focus Blast",19.796,506.1,3925.7,4366,"psychic","20","12.5","fighting","140","40"
"122","Primal Kyogre","Waterfall","Surf",19.789,803.7,6228.4,5227,"water","16","13.3","water","65","38.2"
"123","Mega Salamence","Dragon Tail","Outrage",19.788,928.2,7191.4,5031,"dragon","15","13.6","dragon","110","28.2"
"124","Mega Metagross","Zen Headbutt","Meteor Mash",19.774,940.7,7274.2,4911,"psychic","12","10.9","steel","100","38.5"
"125","Mega Gallade","Low Kick","Psychic",19.75,679.7,5236.1,4521,"fighting","6","10","psychic","90","32.1"
"126","Mega Salamence","Dragon Tail","Draco Meteor",19.75,926.4,7136.2,5031,"dragon","15","13.6","dragon","150","41.7"
"127","Mega Beedrill","Bug Bite","Sludge Bomb",19.732,437,3357.5,3383,"bug","5","10","poison","80","34.8"
"128","Mega Heracross","Counter","Close Combat",19.732,734.9,5646.3,4814,"fighting","12","13.3","fighting","100","43.5"
"129","Mega Mewtwo X","Psycho Cut","Hyper Beam",19.718,748,5734.6,5429,"psychic","5","8.3","normal","150","39.5"
"130","Mega Gardevoir","Confusion","Synchronoise",19.709,675.5,5171,4512,"psychic","20","12.5","psychic","80","30.8"
"131","Mega Gallade","Confusion","Synchronoise",19.706,678.1,5188.9,4521,"psychic","20","12.5","psychic","80","30.8"
"132","Mega Alakazam","Counter","Return",19.693,503.4,3845.2,4366,"fighting","12","13.3","normal","35","50"
"133","Mega Mewtwo X","Psycho Cut","Thunderbolt",19.687,746.8,5698.8,5429,"psychic","5","8.3","electric","80","32"
"134","Deoxys (Attack Forme)","Poison Jab","Zap Cannon",19.682,126.6,965.6,2580,"poison","10","12.5","electric","140","37.8"
"135","Shadow Dragonite","Dragon Breath","Draco Meteor",19.669,542.7,4129.4,3792,"dragon","6","12","dragon","150","41.7"
"136","Shadow Mewtwo","Confusion","Ice Beam",19.657,512.8,3895.3,4178,"psychic","20","12.5","ice","90","27.3"
"137","Shadow Alakazam","Confusion","Shadow Ball",19.654,333,2528.3,3057,"psychic","20","12.5","ghost","100","33.3"
"138","Shadow Machamp","Counter","Dynamic Punch",19.65,439,3330.3,3056,"fighting","12","13.3","fighting","90","33.3"
"139","Shadow Dragonite","Steel Wing","Outrage",19.614,541.2,4084,3792,"steel","11","13.8","dragon","110","28.2"
"140","Mega Alakazam","Psycho Cut","Return",19.61,501.3,3780.7,4366,"psychic","5","8.3","normal","35","50"
"141","Mega Beedrill","Poison Jab","Sludge Bomb",19.591,433.9,3262.6,3383,"poison","10","12.5","poison","80","34.8"
"142","Shadow Metagross","Bullet Punch","Psychic",19.586,564.2,4239.4,3791,"steel","9","10","psychic","90","32.1"
"143","Mega Gengar","Lick","Psychic",19.552,543,4058.4,4336,"ghost","5","10","psychic","90","32.1"
"144","Mega Mewtwo Y","Psycho Cut","Flamethrower",19.54,741.2,5530.2,5610,"psychic","5","8.3","fire","70","31.8"
"145","Shadow Mewtwo","Psycho Cut","Thunderbolt",19.538,509.7,3801.7,4178,"psychic","5","8.3","electric","80","32"
"146","Shadow Moltres","Fire Spin","Overheat",19.532,491.5,3662.5,3465,"fire","14","12.7","fire","160","40"
"147","Black Kyurem","Dragon Tail","Blizzard",19.527,697.6,5194.2,4605,"dragon","15","13.6","ice","130","41.9"
"148","Mega Charizard Y","Wing Attack","Overheat",19.514,679.7,5050.5,4455,"flying","8","10","fire","160","40"
"149","Shadow Raikou","Thunder Shock","Wild Charge",19.513,526.1,3908.3,3452,"electric","5","8.3","electric","90","34.6"
"150","Mewtwo","Confusion","Psychic",19.487,610.1,4514.4,4178,"psychic","20","12.5","psychic","90","32.1"
"151","Mega Gengar","Shadow Claw","Focus Blast",19.461,540.4,3983.1,4336,"ghost","9","12.9","fighting","140","40"
"152","Deoxys (Attack Forme)","Zen Headbutt","Psycho Boost",19.456,125.2,922,2580,"psychic","12","10.9","psychic","70","17.5"
"153","Mega Mewtwo Y","Psycho Cut","Ice Beam",19.453,737.9,5432.7,5610,"psychic","5","8.3","ice","90","27.3"
"154","Mega Gengar","Shadow Claw","Sludge Wave",19.451,540.2,3975.6,4336,"ghost","9","12.9","poison","110","34.4"
"155","Mega Gardevoir","Charm","Synchronoise",19.444,666.4,4898.5,4512,"fairy","20","13.3","psychic","80","30.8"
"156","Mega Sceptile","Bullet Seed","Leaf Blade",19.431,557.5,4090,4056,"grass","8","7.3","grass","70","29.2"
"157","Shadow Zapdos","Thunder Shock","Drill Peck",19.366,497.3,3611.4,3527,"electric","5","8.3","flying","65","28.3"
"158","Deoxys (Attack Forme)","Poison Jab","Psycho Boost",19.334,124.4,899.2,2580,"poison","10","12.5","psychic","70","17.5"
"159","Shadow Weavile","Feint Attack","Avalanche",19.319,388.6,2802.2,3005,"dark","10","11.1","ice","90","33.3"
"160","Shadow Machamp","Karate Chop","Dynamic Punch",19.314,431.5,3108.7,3056,"fighting","8","10","fighting","90","33.3"
"161","Mega Alakazam","Counter","Dazzling Gleam",19.306,493.5,3551.5,4366,"fighting","12","13.3","fairy","100","28.6"
"162","Galarian Darmanitan - Zen Mode","Ice Fang","Overheat",19.276,457.8,3278.8,3905,"ice","12","8","fire","160","40"
"163","Shadow Salamence","Dragon Tail","Hydro Pump",19.267,471,3369,3749,"dragon","15","13.6","water","130","39.4"
"164","Shadow Charizard","Fire Spin","Blast Burn",19.253,420.7,3002.5,2889,"fire","14","12.7","fire","110","33.3"
"165","Mega Charizard Y","Fire Spin","Flamethrower",19.22,669.4,4752.6,4455,"fire","14","12.7","fire","70","31.8"
"166","Mega Alakazam","Psycho Cut","Dazzling Gleam",19.218,491.3,3486.8,4366,"psychic","5","8.3","fairy","100","28.6"
"167","Shadow Dragonite","Dragon Breath","Dragon Claw",19.21,530,3757.5,3792,"dragon","6","12","dragon","50","29.4"
"168","Shadow Mewtwo","Psycho Cut","Hyper Beam",19.205,501,3549.1,4178,"psychic","5","8.3","normal","150","39.5"
"169","Mewtwo","Psycho Cut","Psychic",19.193,600.9,4248.4,4178,"psychic","5","8.3","psychic","90","32.1"
"170","Primal Kyogre","Waterfall","Hydro Pump",19.192,779.4,5510.1,5227,"water","16","13.3","water","130","39.4"
"171","Shadow Alakazam","Confusion","Future Sight",19.188,325.2,2297.3,3057,"psychic","20","12.5","psychic","120","44.4"
"172","Shadow Raikou","Volt Switch","Wild Charge",19.185,517.2,3652.3,3452,"electric","14","8.8","electric","90","34.6"
"173","Shadow Salamence","Bite","Draco Meteor",19.184,469,3311,3749,"dark","6","12","dragon","150","41.7"
"174","Shadow Metagross","Zen Headbutt","Psychic",19.175,552.4,3894.3,3791,"psychic","12","10.9","psychic","90","32.1"
"175","Black Kyurem","Shadow Claw","Outrage",19.14,683.8,4794.2,4605,"ghost","9","12.9","dragon","110","28.2"
"176","Mega Gardevoir","Confusion","Shadow Ball",19.14,656,4599.2,4512,"psychic","20","12.5","ghost","100","33.3"
"177","Shadow Dragonite","Dragon Tail","Hurricane",19.106,527.2,3676.7,3792,"dragon","15","13.6","flying","110","40.7"
"178","Shadow Alakazam","Psycho Cut","Shadow Ball",19.104,323.7,2257.3,3057,"psychic","5","8.3","ghost","100","33.3"
"179","Mega Beedrill","Infestation","Sludge Bomb",19.08,422.6,2935,3383,"bug","10","9.1","poison","80","34.8"
"180","Shadow Entei","Fire Fang","Overheat",19.076,545.8,3789.2,3473,"fire","12","13.3","fire","160","40"
"181","Shadow Weavile","Snarl","Foul Play",19.061,383.4,2655.1,3005,"dark","12","10.9","dark","70","35"
"182","Mega Heracross","Counter","Earthquake",19.057,709.8,4912.8,4814,"fighting","12","13.3","ground","140","38.9"
"183","Shadow Zapdos","Thunder Shock","Thunderbolt",19.049,489.1,3381.2,3527,"electric","5","8.3","electric","80","32"
"184","Shadow Dragonite","Dragon Tail","Dragon Pulse",19.042,525.4,3628,3792,"dragon","15","13.6","dragon","90","25"
"185","Mega Garchomp","Mud Shot","Earthquake",19.037,874.8,6035.4,5424,"ground","5","8.3","ground","140","38.9"
"186","Mega Lucario","Counter","Shadow Ball",18.978,514.7,3518.1,3826,"fighting","12","13.3","ghost","100","33.3"
"187","Shadow Charizard","Wing Attack","Blast Burn",18.971,414.6,2830.5,2889,"flying","8","10","fire","110","33.3"
"188","Mega Gardevoir","Charm","Shadow Ball",18.958,649.7,4426.9,4512,"fairy","20","13.3","ghost","100","33.3"
"189","Shadow Exeggutor","Confusion","Psychic",18.949,415.1,2824.6,3014,"psychic","20","12.5","psychic","90","32.1"
"190","Galarian Darmanitan - Zen Mode","Tackle","Overheat",18.942,449.9,3057.8,3905,"normal","5","10","fire","160","40"
"191","Shadow Alakazam","Counter","Shadow Ball",18.942,321,2181.5,3057,"fighting","12","13.3","ghost","100","33.3"
"192","Shadow Magnezone","Spark","Wild Charge",18.939,450.6,3060.9,3205,"electric","6","8.6","electric","90","34.6"
"193","Mega Mewtwo X","Psycho Cut","Flamethrower",18.929,718,4869.7,5429,"psychic","5","8.3","fire","70","31.8"
"194","Shadow Moltres","Wing Attack","Overheat",18.926,476.2,3228.3,3465,"flying","8","10","fire","160","40"
"195","Shadow Swampert","Water Gun","Hydro Cannon",18.92,498.9,3379.3,2974,"water","5","10","water","90","47.4"
"196","Mega Charizard Y","Air Slash","Overheat",18.917,658.9,4460.7,4455,"flying","14","11.7","fire","160","40"
"197","Shadow Mewtwo","Psycho Cut","Focus Blast",18.913,493.4,3338.1,4178,"psychic","5","8.3","fighting","140","40"
"198","Shadow Electivire","Low Kick","Wild Charge",18.895,381.2,2571.7,3079,"fighting","6","10","electric","90","34.6"
"199","Mega Gardevoir","Charge Beam","Psychic",18.845,645.8,4322,4512,"electric","8","7.3","psychic","90","32.1"
"200","Mega Mewtwo X","Psycho Cut","Ice Beam",18.841,714.7,4780.5,5429,"psychic","5","8.3","ice","90","27.3"
"201","Shadow Exeggutor","Extrasensory","Psychic",18.838,412.7,2759.3,3014,"psychic","12","10.9","psychic","90","32.1"
"202","Shadow Banette","Shadow Claw","Shadow Ball",18.835,271.8,1816.5,2298,"ghost","9","12.9","ghost","100","33.3"
"203","Mega Charizard X","Fire Spin","Blast Burn",18.807,657.9,4376.4,3850,"fire","14","12.7","fire","110","33.3"
"204","Mega Gallade","Low Kick","Synchronoise",18.805,647.1,4303.3,4521,"fighting","6","10","psychic","80","30.8"
"205","Mega Salamence","Fire Fang","Outrage",18.805,882.1,5865.5,5031,"fire","12","13.3","dragon","110","28.2"
"206","White Kyurem","Dragon Breath","Blizzard",18.793,671.4,4456.5,4605,"dragon","6","12","ice","130","41.9"
"207","Shadow Swampert","Mud Shot","Hydro Cannon",18.788,495.5,3286.1,2974,"ground","5","8.3","water","90","47.4"
"208","Mega Gengar","Lick","Focus Blast",18.78,521.5,3454.4,4336,"ghost","5","10","fighting","140","40"
"209","Shadow Zapdos","Charge Beam","Drill Peck",18.771,482,3188,3527,"electric","8","7.3","flying","65","28.3"
"210","Shadow Mewtwo","Psycho Cut","Flamethrower",18.767,489.6,3236.5,4178,"psychic","5","8.3","fire","70","31.8"
"211","Mega Alakazam","Counter","Focus Blast",18.763,479.6,3168.1,4366,"fighting","12","13.3","fighting","140","40"
"212","Mega Rayquaza","Air Slash","Aerial Ace",18.756,689,4546,5055,"flying","14","11.7","flying","55","22.9"
"213","Mega Gengar","Lick","Sludge Wave",18.755,520.9,3436.1,4336,"ghost","5","10","poison","110","34.4"
"214","Mega Gallade","Charm","Psychic",18.732,644.6,4237,4521,"fairy","20","13.3","psychic","90","32.1"
"215","Mega Absol","Snarl","Return",18.723,368.9,2421.1,3301,"dark","12","10.9","normal","35","50"
"216","Mega Charizard Y","Ember","Overheat",18.714,651.8,4272,4455,"fire","10","10","fire","160","40"
"217","Shadow Cacturne","Sucker Punch","Grass Knot",18.711,263.1,1723.3,2298,"dark","7","10","grass","90","34.6"
"218","Mega Blastoise","Water Gun","Hydro Cannon",18.695,730.1,4770.1,3941,"water","5","10","water","90","47.4"
"219","Shadow Gallade","Confusion","Psychic",18.684,417.5,2722.9,3093,"psychic","20","12.5","psychic","90","32.1"
"220","Shadow Gardevoir","Confusion","Psychic",18.684,417.5,2722.9,3093,"psychic","20","12.5","psychic","90","32.1"
"221","Rayquaza","Dragon Tail","Outrage",18.68,546.8,3564.4,3835,"dragon","15","13.6","dragon","110","28.2"
"222","Shadow Mewtwo","Psycho Cut","Ice Beam",18.675,487.2,3173.4,4178,"psychic","5","8.3","ice","90","27.3"
"223","Mega Gengar","Shadow Claw","Shadow Punch",18.662,518.3,3368.7,4336,"ghost","9","12.9","ghost","40","23.5"
